Year,Residence,Origin,Refugees,Asylum,Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total
#date+year,#country+residence,#country+origin,#affected+refugees,#affected+asylum,#affected+returned_refugees,#affected+idps,#affected+returned_idps,#affected+stateless,#affected+others,#affected+total
1973,United Rep. of Tanzania,Uganda,950,,,,,,,950
1974,Kenya,Uganda,360,,,,,,,360
1974,United Rep. of Tanzania,Uganda,2270,,,,,,,2270
1975,United Rep. of Tanzania,Uganda,2300,,,,,,,2300
1975,Zambia,Uganda,210,,,,,,,210
1976,Kenya,Uganda,450,,,,,,,450
1976,Sudan,Uganda,600,,,,,,,600
1976,United Rep. of Tanzania,Uganda,2200,,,,,,,2200
1977,Kenya,Uganda,4280,,,,,,,4280
1977,United Arab Emirates,Uganda,90,,,,,,,90
1977,United Rep. of Tanzania,Uganda,3630,,,,,,,3630
1978,Dem. Rep. of the Congo,Uganda,,,30000,,,,,30000
1978,Kenya,Uganda,4630,,,,,,,4630
1978,United Arab Emirates,Uganda,90,,,,,,,90
1978,United Rep. of Tanzania,Uganda,4100,,,,,,,4100
1979,Dem. Rep. of the Congo,Uganda,49780,,20000,,,,,69780
1979,Kenya,Uganda,3550,,1400,,,,,4950
1979,Rwanda,Uganda,100,,400,,,,,500
1979,Sudan,Uganda,35000,,,,,,,35000
1979,United Arab Emirates,Uganda,90,,,,,,,90
1979,United Rep. of Tanzania,Uganda,110,,2990,,,,,3100
1979,Zambia,Uganda,80,,,,,,,80
1980,Dem. Rep. of the Congo,Uganda,150000,,30000,,,,,180000
1980,Italy,Uganda,11,,,,,,,11
1980,Kenya,Uganda,840,,750,,,,,1590
1980,Rwanda,Uganda,300,,,,,,,300
1980,Sudan,Uganda,73000,,,,,,,73000
1980,United Arab Emirates,Uganda,90,,,,,,,90
1980,Various/Unknown,Uganda,,,2450,,,,,2450
1980,Zambia,Uganda,60,,,,,,,60
1981,Burundi,Uganda,330,,,,,,,330
1981,Dem. Rep. of the Congo,Uganda,125000,,40000,,,,,165000
1981,Italy,Uganda,11,,,,,,,11
1981,Kenya,Uganda,510,,,,,,,510
1981,Rwanda,Uganda,200,,,,,,,200
1981,Sudan,Uganda,50550,,250,,,,,50800
1981,United Arab Emirates,Uganda,90,,,,,,,90
1981,Various/Unknown,Uganda,,,2000,,,,,2000
1982,Burundi,Uganda,1830,,,,,,,1830
1982,Dem. Rep. of the Congo,Uganda,60000,,110000,,,,,170000
1982,Italy,Uganda,15,,,,,,,15
1982,Kenya,Uganda,1350,,,,,,,1350
1982,Rwanda,Uganda,38000,,,,,,,38000
1982,Sudan,Uganda,170000,,16000,,,,,186000
1982,United Arab Emirates,Uganda,90,,,,,,,90
1983,Burundi,Uganda,6250,,130,,,,,6380
1983,Dem. Rep. of the Congo,Uganda,65000,,3110,,,,,68110
1983,Italy,Uganda,16,,,,,,,16
1983,Kenya,Uganda,2990,,,,,,,2990
1983,Rwanda,Uganda,31000,,3000,,,,,34000
1983,Sudan,Uganda,200000,,,,,,,200000
1983,United Arab Emirates,Uganda,90,,,,,,,90
1983,United Rep. of Tanzania,Uganda,10000,,,,,,,10000
1984,Burundi,Uganda,26290,,,,,,,26290
1984,Dem. Rep. of the Congo,Uganda,30810,,14790,,,,,45600
1984,Italy,Uganda,21,,,,,,,21
1984,Kenya,Uganda,3880,,,,,,,3880
1984,Rwanda,Uganda,30420,,,,,,,30420
1984,Sudan,Uganda,200000,,36710,,,,,236710
1984,United Arab Emirates,Uganda,70,,,,,,,70
1984,United Rep. of Tanzania,Uganda,2500,,,,,,,2500
1984,Various/Unknown,Uganda,,,7000,,,,,7000
1985,Burundi,Uganda,33220,,,,,,,33220
1985,Dem. Rep. of the Congo,Uganda,17000,,20040,,,,,37040
1985,Italy,Uganda,30,,,,,,,30
1985,Kenya,Uganda,4160,,100,,,,,4260
1985,Rwanda,Uganda,,,28500,,,,,28500
1985,Sudan,Uganda,250000,,6260,,,,,256260
1985,United Arab Emirates,Uganda,70,,,,,,,70
1985,United Rep. of Tanzania,Uganda,1430,,1310,,,,,2740
1985,Zambia,Uganda,150,,,,,,,150
1986,Burundi,Uganda,21100,,250,,,,,21350
1986,Dem. Rep. of the Congo,Uganda,14230,,2770,,,,,17000
1986,Italy,Uganda,32,,,,,,,32
1986,Kenya,Uganda,3220,,1450,,,,,4670
1986,Sudan,Uganda,197200,,52800,,,,,250000
1986,United Rep. of Tanzania,Uganda,2730,,,,,,,2730
1986,Zambia,Uganda,140,,,,,,,140
1987,Bahrain,Uganda,80,,,,,,,80
1987,Burundi,Uganda,300,,,,,,,300
1987,Dem. Rep. of the Congo,Uganda,4000,,15630,,,,,19630
1987,Italy,Uganda,31,,,,,,,31
1987,Kenya,Uganda,5460,,120,,,,,5580
1987,Sudan,Uganda,100000,,68200,,,,,168200
1987,Zambia,Uganda,1200,,,,,,,1200
1988,Burundi,Uganda,380,,,,,,,380
1988,Dem. Rep. of the Congo,Uganda,3998,,1200,,,,,5198
1988,Italy,Uganda,25,,,,,,,25
1988,Kenya,Uganda,6590,,460,,,,,7050
1988,Sudan,Uganda,10000,,83500,,,,,93500
1988,United Kingdom,Uganda,905,,,,,,,905
1988,United States of America,Uganda,77,,,,,,,77
1989,Burundi,Uganda,375,,,,,,,375
1989,Dem. Rep. of the Congo,Uganda,4000,,,,,,,4000
1989,Denmark,Uganda,39,,,,,,,39
1989,Italy,Uganda,27,,,,,,,27
1989,Kenya,Uganda,6210,,190,,,,,6400
1989,Sudan,Uganda,9150,,18850,,,,,28000
1989,United Kingdom,Uganda,1442,,,,,,,1442
